reg_name,field_name,bits,addr,sw_attr,hw_attr,rst_val,reg_attr,description
DEVICE_ID,device_id,7:0,0,r,w,8'hF2,,Device Identifier
REVISION,major_rev,3:0,1,r,w,4'h1,,Major Revision
REVISION,minor_rev,7:4,1,r,w,4'h1,,Minor Revision
PHASE_CODE_TX0,phase_code_tx0,6:0,2,rw,r,'0,::update::sync_rst,Phase Code for TX0
GAIN_CODE_TX0,gain_code_tx0,5:0,3,rw,r,'0,::update::sync_rst,Gain Code for TX0
PHASE_CODE_TX1,phase_code_tx1,6:0,4,rw,r,'0,::update::sync_rst,Phase Code for TX1
GAIN_CODE_TX1,gain_code_tx1,5:0,5,rw,r,'0,::update::sync_rst,Gain Code for TX1
PHASE_CODE_TX2,phase_code_tx2,6:0,6,rw,r,'0,::update::sync_rst,Phase Code for TX2
GAIN_CODE_TX2,gain_code_tx2,5:0,7,rw,r,'0,::update::sync_rst,Gain Code for TX2
PHASE_CODE_TX3,phase_code_tx3,6:0,8,rw,r,'0,::update::sync_rst,Phase Code for TX3
GAIN_CODE_TX3,gain_code_tx3,5:0,9,rw,r,'0,::update::sync_rst,Gain Code for TX3
PHASE_CODE_RX0,phase_code_rx0,6:0,10,rw,r,'0,::update::sync_rst,Phase Code for RX0
GAIN_CODE_RX0,gain_code_rx0,5:0,11,rw,r,'0,::update::sync_rst,Gain Code for RX0
PHASE_CODE_RX1,phase_code_rx1,6:0,12,rw,r,'0,::update::sync_rst,Phase Code for RX1
GAIN_CODE_RX1,gain_code_rx1,5:0,13,rw,r,'0,::update::sync_rst,Gain Code for RX1
PHASE_CODE_RX2,phase_code_rx2,6:0,14,rw,r,'0,::update::sync_rst,Phase Code for RX2
GAIN_CODE_RX2,gain_code_rx2,5:0,15,rw,r,'0,::update::sync_rst,Gain Code for RX2
PHASE_CODE_RX3,phase_code_rx3,6:0,16,rw,r,'0,::update::sync_rst,Phase Code for RX3
GAIN_CODE_RX3,gain_code_rx3,5:0,17,rw,r,'0,::update::sync_rst,Gain Code for RX3
UPDATE_CODE,update_code,0:0,18,rw,r,'0,::update::sync_rst,Toggle this bit to load the values into the Stg2 Registers or load next setting from Beam LUT based on beam_sel
RSVD0,rsvd0,0:0,19,rw,r,'0,,
BEAM_CODE,beam_code,6:0,20,rw,r,'0,::update::sync_rst,beam Code
RSVD1,rsvd1,0:0,21,rw,r,'0,,
BEAM_CFG,use_beam_lut,0:0,22,rw,r,'0,::sync_rst,Set 1 to send beam position to ana
BEAM_CFG,beam_cfg_done,1:1,22,rw,r,'0,::sync_rst,Set to 1 after programming everything that requires SPI clock
BEAM_CFG,tx_beam_seq_en,2:2,22,rw,r,'0,::sync_rst,"Set 1 to enable beam seq, with tx load"
BEAM_CFG,rx_beam_seq_en,3:3,22,rw,r,'0,::sync_rst,"Set 1 to enable beam seq, with rx load"
STG2_CFG,use_reg_for_stg2_update,0:0,23,rw,r,'0,::sync_rst,1-> update code reg controls stg2 reg load
FREQ_ID,freq_id,0:0,24,rw,r,'0,::update::sync_rst,"0 -> low freq, 1-> high freq"
RSVD2,rsvd2,0:0,25,rw,r,'0,,
RSVD3,rsvd3,0:0,26,rw,r,'0,,
CORR_CFG,en_phase_corr,0:0,27,rw,r,1'h1,::sync_rst,
CORR_CFG,en_gain_corr,1:1,27,rw,r,1'h1,::sync_rst,
COPY_MODE,copy_mode,0:0,28,rw,r,'0,::sync_rst,Set 1 to copy same phase & gain value to all antena
SPI_MODE_CTRL,spi_3_wire_mode,0:0,29,rw,r,'0,::sync_rst,Set 1 to enable 3 wire mode
TX0_I_LSB,tx0_i_lsb,7:0,30,rw,rw we,'0,::sync_rst,I for TX0 Phase
TX0_Q_LSB,tx0_q_lsb,7:0,31,rw,rw we,'0,::sync_rst,Q for TX0 Phase
TX0_AV_LSB,tx0_av_lsb,7:0,32,rw,rw we,'0,::sync_rst,AV for TX0 Gain
TX0_MSB,tx0_i_msb,0:0,33,rw,rw we,'0,::sync_rst,
TX0_MSB,tx0_q_msb,1:1,33,rw,rw we,'0,::sync_rst,
TX0_MSB,tx0_av_msb,4:2,33,rw,rw we,'0,::sync_rst,
TX0_FINAL_AV,tx0_final_av,4:0,34,rw,rw we,'0,::sync_rst,
RX0_I_LSB_TEMP0,rx0_i_lsb_temp0,7:0,35,rw,rw we,'0,::sync_rst,I for RX0 Phase
RX0_Q_LSB_TEMP0,rx0_q_lsb_temp0,7:0,36,rw,rw we,'0,::sync_rst,Q for RX0 Phase
RX0_AV_LSB_TEMP0,rx0_av_lsb_temp0,7:0,37,rw,rw we,'0,::sync_rst,AV for RX0 Gain
RX0_MSB_TEMP0,rx0_i_msb_temp0,0:0,38,rw,rw we,'0,::sync_rst,
RX0_MSB_TEMP0,rx0_q_msb_temp0,1:1,38,rw,rw we,'0,::sync_rst,
RX0_MSB_TEMP0,rx0_av_msb_temp0,4:2,38,rw,rw we,'0,::sync_rst,
RX0_I_LSB_TEMP1,rx0_i_lsb_temp1,7:0,39,rw,rw we,'0,::sync_rst,I for RX0 Phase
RX0_Q_LSB_TEMP1,rx0_q_lsb_temp1,7:0,40,rw,rw we,'0,::sync_rst,Q for RX0 Phase
RX0_AV_LSB_TEMP1,rx0_av_lsb_temp1,7:0,41,rw,rw we,'0,::sync_rst,AV for RX0 Gain
RX0_MSB_TEMP1,rx0_i_msb_temp1,0:0,42,rw,rw we,'0,::sync_rst,
RX0_MSB_TEMP1,rx0_q_msb_temp1,1:1,42,rw,rw we,'0,::sync_rst,
RX0_MSB_TEMP1,rx0_av_msb_temp1,4:2,42,rw,rw we,'0,::sync_rst,
RX0_I_LSB_TEMP2,rx0_i_lsb_temp2,7:0,43,rw,rw we,'0,::sync_rst,I for RX0 Phase
RX0_Q_LSB_TEMP2,rx0_q_lsb_temp2,7:0,44,rw,rw we,'0,::sync_rst,Q for RX0 Phase
