Av,Phase Err Index (Signed),gain (9.5 GHz),Phase error(9.5 GHz)
2020,0,-7.51973152161,0
1742,0,-8.01832008362,0
1615,0,-8.52146911621,0
1512,0,-9.01795864105,0
1404,0,-9.51893615723,0
1316,0,-10.0141296387,0
1223,0,-10.5263156891,0
1147,0,-11.019036293,0
1076,0,-11.5217952728,0
1020,0,-12.0214385986,0
946,0,-12.5132656097,0
892,0,-13.0207481384,0
850,0,-13.5237798691,0
788,0,-14.0144815445,0
753,0,-14.5191411972,0
696,0,-15.0192327499,0
659,0,-15.532752037,0
617,7,-16.0195064545,-1
587,7,-16.5265712738,-1
543,7,-17.012424469,-1
517,7,-17.5242557526,-1
484,7,-18.0089550018,-1
450,7,-18.5281887054,-1
434,7,-19.0194034576,-1
413,7,-19.5342292786,-1
391,7,-20.0101032257,-1
367,6,-20.5076580048,-2
346,6,-21.0198879242,-2
326,6,-21.5226230621,-2
308,6,-22.0157375336,-2
291,6,-22.5403556824,-2
274,6,-23.0191345215,-2
260,6,-23.5199584961,-2
243,6,-24.0253257751,-2
231,6,-24.4923801422,-2
218,6,-25.0482673645,-2
206,6,-25.488237381,-2
194,5,-25.9957790375,-3
181,5,-26.5673122406,-3
172,5,-26.9914417267,-3
161,5,-27.5564060211,-3
154,5,-28.0103168488,-3
144,5,-28.5112400055,-3
137,5,-28.9895439148,-3
129,5,-29.5222797394,-3
121,5,-30.0289878845,-3
115,5,-30.4863300323,-3
108,5,-31.0028476715,-3
103,5,-31.4908809662,-3
96,5,-32.0472679138,-3
92,4,-32.4455986023,-4
86,4,-33.0364456177,-4
56,5,-33.5197486877,-3
46,5,-34.0308494568,-3
35,5,-34.5085334778,-3
29,5,-35.027797699,-3
25,5,-35.5864906311,-3
20,5,-36.0871543884,-3
17,4,-36.5589675903,-4
16,4,-36.9667510986,-4
13,4,-37.5384140015,-4
12,4,-38.0734786987,-4
10,4,-38.6456794739,-4
9,3,-38.9483947754,-5
