Av,Phase Err Index (Signed),gain (9.5 GHz),Phase error(9.5 GHz)
2020,2,-7.51973152161,2
1742,3,-8.01832008362,3
1615,3,-8.52146911621,3
1512,3,-9.01795864105,3
1404,3,-9.51893615723,3
1316,3,-10.0141296387,3
1223,3,-10.5263156891,3
1147,3,-11.019036293,3
1076,3,-11.5217952728,3
1020,3,-12.0214385986,3
946,3,-12.5132656097,3
892,2,-13.0207481384,2
850,2,-13.5237798691,2
788,2,-14.0144815445,2
753,2,-14.5191411972,2
696,2,-15.0192327499,2
659,2,-15.532752037,2
617,1,-16.0195064545,1
587,1,-16.5265712738,1
543,1,-17.012424469,1
517,1,-17.5242557526,1
484,1,-18.0089550018,1
450,1,-18.5281887054,1
434,0,-19.0194034576,0
413,0,-19.5342292786,0
391,0,-20.0101032257,0
367,0,-20.5076580048,0
346,0,-21.0198879242,0
326,0,-21.5226230621,0
308,0,-22.0157375336,0
291,7,-22.5403556824,-1
274,7,-23.0191345215,-1
260,7,-23.5199584961,-1
243,7,-24.0253257751,-1
231,7,-24.4923801422,-1
218,7,-25.0482673645,-1
206,7,-25.488237381,-1
194,6,-25.9957790375,-2
181,6,-26.5673122406,-2
172,6,-26.9914417267,-2
161,6,-27.5564060211,-2
154,6,-28.0103168488,-2
144,6,-28.5112400055,-2
137,6,-28.9895439148,-2
129,6,-29.5222797394,-2
121,5,-30.0289878845,-3
115,5,-30.4863300323,-3
108,5,-31.0028476715,-3
103,5,-31.4908809662,-3
96,5,-32.0472679138,-3
92,5,-32.4455986023,-3
86,5,-33.0364456177,-3
56,6,-33.5197486877,-2
46,6,-34.0308494568,-2
35,6,-34.5085334778,-2
29,5,-35.027797699,-3
25,6,-35.5864906311,-2
20,5,-36.0871543884,-3
17,5,-36.5589675903,-3
16,5,-36.9667510986,-3
13,4,-37.5384140015,-4
12,4,-38.0734786987,-4
10,4,-38.6456794739,-4
9,3,-38.9483947754,-5
