Av,Phase Err Index (Signed),gain (9.0 GHz),Phase error(9.0 GHz)
2020,0,-7.03052330017,0
1719,0,-7.53066682816,0
1593,0,-8.03815555573,0
1491,0,-8.53226661682,0
1402,0,-9.02346801758,0
1303,0,-9.52686405182,0
1230,0,-10.0316371918,0
1156,0,-10.5304422379,0
1074,0,-11.036444664,0
1016,0,-11.5266580582,0
947,0,-12.0346279144,0
887,0,-12.5391111374,0
841,0,-13.0396347046,0
788,0,-13.531329155,0
738,0,-14.0384273529,0
700,0,-14.5078926086,0
654,7,-15.0318622589,-1
617,7,-15.5143470764,-1
582,7,-16.0224227905,-1
555,7,-16.5175666809,-1
524,7,-17.0274887085,-1
476,7,-17.5346088409,-1
459,7,-18.0323905945,-1
436,7,-18.5209007263,-1
407,6,-19.0285301208,-2
390,6,-19.506526947,-2
368,6,-20.0199680328,-2
348,6,-20.5011348724,-2
327,6,-21.0349140167,-2
309,6,-21.5443611145,-2
292,6,-21.9928588867,-2
275,6,-22.533744812,-2
259,6,-23.0143966675,-2
244,6,-23.5284881592,-2
230,6,-24.0242652893,-2
216,6,-24.5346508026,-2
204,6,-25.0262794495,-2
194,5,-25.4908409119,-3
181,5,-26.050283432,-3
172,5,-26.5303325653,-3
162,5,-27.0320243835,-3
153,5,-27.5301837921,-3
145,5,-27.9958744049,-3
136,5,-28.5640583038,-3
129,5,-29.0185775757,-3
120,5,-29.5464305878,-3
114,5,-30.0184707642,-3
108,5,-30.4988307953,-3
102,5,-31.0361309052,-3
95,4,-31.5861549377,-4
90,4,-32.0240097046,-4
85,4,-32.5663986206,-4
55,5,-33.027545929,-3
43,5,-33.5525550842,-3
36,5,-34.0129890442,-3
28,5,-34.6087989807,-3
23,5,-35.1284942627,-3
19,5,-35.6379013062,-3
17,5,-36.0563316345,-3
15,4,-36.6222000122,-4
13,4,-37.0435752869,-4
11,4,-37.6820869446,-4
10,4,-38.0726127625,-4
9,4,-38.5014953613,-4
