Av,Phase Err Index (Signed),gain (9.25 GHz),Phase error(9.25 GHz)
2020,2,-10.3307342529,2
1812,2,-10.8359117508,2
1704,2,-11.3277311325,2
1600,2,-11.844707489,2
1516,2,-12.3006277084,2
1412,2,-12.8475494385,2
1340,2,-13.3206319809,2
1280,2,-13.8406391144,2
1204,2,-14.3420057297,2
1124,2,-14.8342123032,2
1052,1,-15.3243494034,1
1016,2,-15.8597984314,2
952,1,-16.3234195709,1
884,1,-16.8504333496,1
852,2,-17.3187503815,2
800,1,-17.8259315491,1
748,1,-18.332036972,1
720,2,-18.8247470856,2
664,1,-19.2986679077,1
632,1,-19.8377227783,1
600,1,-20.3097190857,1
564,0,-20.8117923737,0
532,0,-21.3474349976,0
500,0,-21.8589515686,0
472,0,-22.3826732635,0
448,0,-22.8380336761,0
420,0,-23.34897995,0
400,0,-23.7911949158,0
376,0,-24.3288631439,0
356,7,-24.8114147186,-1
340,7,-25.3037662506,-1
320,7,-25.841714859,-1
300,7,-26.3114967346,-1
284,7,-26.7704143524,-1
268,7,-27.3207759857,-1
252,7,-27.8142547607,-1
236,7,-28.3899917603,-1
228,7,-28.8189811707,-1
216,7,-29.2685050964,-1
204,7,-29.7837524414,-1
196,7,-30.3172969818,-1
180,6,-30.8932914734,-2
172,6,-31.273317337,-2
164,6,-31.8103466034,-2
152,6,-32.4757385254,-2
144,6,-32.9466629028,-2
140,6,-33.1879005432,-2
132,6,-33.8203735352,-2
120,6,-34.2763023376,-2
112,6,-34.8598976135,-2
108,6,-35.2114448547,-2
100,6,-35.8085212708,-2
96,5,-36.1757926941,-3
88,5,-36.9721908569,-3
84,5,-37.3783149719,-3
80,5,-37.9749946594,-3
76,5,-38.5849494934,-3
72,5,-38.7915077209,-3
68,4,-39.4163703918,-4
60,5,-39.6179924011,-3
56,4,-40.2314147949,-4
51,5,-40.9326667786,-3
49,5,-41.2097625732,-3
47,4,-41.5413093567,-4
