I-Code,Q-Code,Gain Error,,,,
452,268,0,-196,-12,-11.77702045,168.5547028
456,264,0,-200,-8,-11.9511385,171.425354
468,260,0,-212,-4,-11.81830502,174.1992798
480,0,0,-224,0,-11.83490181,178.0993347
484,4,0,-228,4,-11.95444679,-177.4244843
484,4,0,-228,4,-11.95444679,-177.4244843
488,8,0,-232,8,-11.80379391,-173.6974335
492,12,0,-236,12,-11.81983757,-170.1780243
496,16,0,-240,16,-11.82524967,-166.8009033
496,20,0,-240,20,-11.91162491,-164.1659851
500,24,0,-244,24,-11.81555557,-161.9134064
500,28,0,-244,28,-11.76018047,-160.2823181
500,36,0,-244,36,-11.85550976,-155.6896667
500,44,0,-244,44,-11.80329514,-152.4832764
500,48,0,-244,48,-11.78822136,-150.032486
500,56,0,-244,56,-11.80315399,-147.299469
496,64,0,-240,64,-11.9465065,-143.6555023
496,76,0,-240,76,-11.83150291,-139.9350586
496,84,0,-240,84,-11.78059864,-137.4992676
492,88,0,-236,88,-11.76006794,-136.0157013
488,100,0,-232,100,-11.79005528,-132.444519
484,108,0,-228,108,-11.85224438,-129.3769836
476,116,0,-220,116,-11.88850975,-125.1325226
476,128,0,-220,128,-11.77216339,-123.0593033
472,136,0,-216,136,-11.7833004,-119.7243881
464,140,0,-208,140,-11.84663486,-117.3600693
456,148,0,-200,148,-11.79563332,-114.2186127
456,152,0,-200,152,-11.75128555,-112.9079208
440,156,0,-184,156,-11.79674339,-108.4389038
432,164,0,-176,164,-11.75656986,-105.1188126
416,164,0,-160,164,-11.80636883,-101.8012466
408,168,0,-152,168,-11.80061054,-99.23456573
400,168,0,-144,168,-11.78408337,-97.60578918
388,172,0,-132,172,-11.78373528,-94.71142578
372,172,0,-116,172,-11.7920332,-91.74427032
356,172,0,-100,172,-11.77588463,-88.76756287
340,172,0,-84,172,-11.79390144,-84.95294952
328,168,0,-72,168,-11.94027424,-82.74974823
312,168,0,-56,168,-11.84481335,-79.82579803
296,160,0,-40,160,-11.88605022,-76.36286163
288,164,0,-32,164,-11.79869652,-74.12786865
276,160,0,-20,160,-11.7745018,-70.77153015
264,152,0,-8,152,-11.9200325,-67.48133087
0,148,0,0,148,-11.88443565,-64.11400604
8,144,0,8,144,-11.79839706,-60.23360825
16,140,0,16,140,-11.78310299,-57.49156189
24,128,0,24,128,-11.8781805,-53.79715729
36,116,0,36,116,-11.92513561,-51.06174088
48,112,0,48,112,-11.76045799,-47.97929001
60,104,0,60,104,-11.76258183,-45.07915878
72,92,0,72,92,-11.87057781,-41.98955154
84,88,0,84,88,-11.76001835,-40.02984238
88,80,0,88,80,-11.82926559,-38.34485245
108,68,0,108,68,-11.80315113,-35.51319122
124,56,0,124,56,-11.87516117,-31.9634819
140,48,0,140,48,-11.76842785,-29.11520386
152,40,0,152,40,-11.76488686,-26.48071289
160,32,0,160,32,-12.05343246,-23.50179672
180,24,0,180,24,-11.8377018,-19.78342056
192,16,0,192,16,-11.90474606,-15.94761372
204,12,0,204,12,-11.76405525,-12.62302876
212,8,0,212,8,-11.800807,-10.06435776
216,4,0,216,4,-11.97437572,-7.359254837
228,0,0,228,0,-11.76596642,-3.376637459
232,260,0,232,-4,-11.93217182,0.879402041
232,260,0,232,-4,-11.93217182,0.879402041
240,264,0,240,-8,-11.77696037,4.631032944
240,268,0,240,-12,-11.92587757,7.853699684
244,272,0,244,-16,-11.92473316,11.61549664
248,276,0,248,-20,-11.79001236,13.63370609
248,280,0,248,-24,-11.82015514,16.20610428
248,288,0,248,-32,-12.00500584,20.48600388
252,292,0,252,-36,-11.76874447,21.71772766
248,300,0,248,-44,-11.93665028,25.83089638
252,308,0,252,-52,-11.7685442,28.56448746
252,316,0,252,-60,-11.75042343,31.02476883
248,324,0,248,-68,-11.98131657,34.67284012
248,336,0,248,-80,-11.87040615,38.60010529
248,344,0,248,-88,-11.7713747,39.90404511
244,352,0,244,-96,-11.8475771,44.41553116
244,364,0,244,-108,-11.81254673,46.57832718
240,376,0,240,-120,-11.78280735,50.23289871
236,380,0,236,-124,-11.85560131,52.07688141
232,388,0,232,-132,-11.83956909,55.18280411
228,396,0,228,-140,-11.80512333,57.57042694
220,404,0,220,-148,-11.8120575,61.41195297
212,408,0,212,-152,-11.79683876,64.47899628
208,412,0,208,-156,-11.77495098,67.18776703
196,420,0,196,-164,-11.76767826,70.80023193
192,420,0,192,-164,-11.80925941,72.18663788
180,424,0,180,-168,-11.7892437,75.17815399
172,428,0,172,-172,-11.76246834,77.69889069
160,428,0,160,-172,-11.83176136,80.84762573
144,428,0,144,-172,-11.83730984,83.80606842
136,432,0,136,-176,-11.77454853,86.4023056
116,432,0,116,-176,-11.76743507,90.34347534
100,428,0,100,-172,-11.88040829,92.68107605
88,428,0,88,-172,-11.78792,95.515625
72,428,0,72,-172,-11.76050091,98.94332123
60,424,0,60,-168,-11.87965107,101.5301971
48,420,0,48,-164,-11.87331104,104.4640274
36,420,0,36,-164,-11.79844761,107.2258682
24,416,0,24,-160,-11.81669903,110.2448959
12,412,0,12,-156,-11.76439571,113.7230453
0,400,0,0,-144,-11.87773037,118.3456192
260,400,0,-4,-144,-11.81339264,120.0420074
272,376,0,-16,-120,-12.23205185,124.793541
276,384,0,-20,-128,-11.77738953,126.7370148
288,372,0,-32,-116,-11.81506538,130.0575867
296,364,0,-40,-108,-11.9076004,133.6513062
312,352,0,-56,-96,-11.81147194,136.661026
324,344,0,-68,-88,-11.80801296,139.3393707
332,336,0,-76,-80,-11.83125305,141.3770752
340,332,0,-84,-76,-11.82446098,143.1738892
360,316,0,-104,-60,-11.85268784,147.875885
368,312,0,-112,-56,-11.83165646,148.9175415
388,300,0,-132,-44,-11.86221409,153.4612579
400,296,0,-144,-40,-11.77097702,155.1257477
404,288,0,-148,-32,-11.91422939,157.9362335
428,280,0,-172,-24,-11.75680447,161.8578186
440,272,0,-184,-16,-11.83203125,165.6916656
452,268,0,-196,-12,-11.77702045,168.5547028
456,264,0,-200,-8,-11.9511385,171.425354
468,260,0,-212,-4,-11.81830502,174.1992798
480,0,0,-224,0,-11.83490181,178.0993347
484,4,0,-228,4,-11.95444679,-177.4244843
484,4,0,-228,4,-11.95444679,-177.4244843
488,8,0,-232,8,-11.80379391,-173.6974335
