I-Code,Q-Code,Gain Error,,,,
396,280,0,-140,-24,-15.97834873,167.9845123
408,268,0,-152,-12,-16.03646469,170.9059448
420,260,0,-164,-4,-15.92521191,174.1855011
428,4,0,-172,4,-16.08063889,177.123764
440,16,0,-184,16,-15.93363476,-179.7918701
444,24,0,-188,24,-16.05105209,-176.8968201
452,32,0,-196,32,-15.94033146,-174.0792999
456,44,0,-200,44,-16.05538368,-171.0395355
464,56,0,-208,56,-15.94214058,-168.1362152
468,60,0,-212,60,-15.92924213,-165.233429
472,72,0,-216,72,-15.96657372,-162.158371
476,84,0,-220,84,-15.9386692,-159.0219116
480,104,0,-224,104,-15.9990015,-156.0423431
484,108,0,-228,108,-15.86192799,-153.1655884
484,120,0,-228,120,-16.00487328,-150.2154236
484,132,0,-228,132,-16.13236046,-147.2038879
492,156,0,-236,156,-15.87016678,-144.1936646
488,156,0,-232,156,-15.98785591,-141.4994507
492,176,0,-236,176,-15.96561146,-138.2525024
488,176,0,-232,176,-16.06513023,-135.4710541
488,184,0,-232,184,-16.01146317,-132.7205353
492,204,0,-236,204,-15.97722816,-129.0788422
492,208,0,-236,208,-15.77511501,-126.4042587
484,208,0,-228,208,-16.10788918,-123.6285172
484,216,0,-228,216,-16.00726891,-120.7867432
484,224,0,-228,224,-16.06828117,-117.3937378
484,232,0,-228,232,-15.93812466,-114.4420471
476,232,0,-220,232,-16.15491295,-111.5695267
472,240,0,-216,240,-15.98741722,-108.4221725
468,244,0,-212,244,-15.9332552,-105.7456436
464,248,0,-208,248,-15.92345715,-102.7130585
464,252,0,-208,252,-15.87558365,-99.63632202
448,252,0,-192,252,-16.18126488,-96.72797394
436,248,0,-180,248,-16.10796738,-93.61254883
436,252,0,-180,252,-16.03679276,-90.42793274
420,252,0,-164,252,-15.95701981,-87.66620636
416,252,0,-160,252,-16.03388786,-84.75054169
400,248,0,-144,248,-16.1496315,-81.76864624
388,248,0,-132,248,-16.01916885,-78.6761322
364,244,0,-108,244,-15.99596882,-75.92976379
356,248,0,-100,248,-15.97344303,-72.7273407
332,236,0,-76,236,-15.92099285,-69.88119507
324,232,0,-68,232,-15.9869194,-66.77048492
308,232,0,-52,232,-15.9127512,-63.97167587
292,220,0,-36,220,-15.80805588,-60.97012711
272,208,0,-16,208,-16.10089111,-58.06493378
0,192,0,0,192,-15.8023386,-55.1998024
8,180,0,8,180,-16.06679153,-51.41702271
12,168,0,12,168,-16.05223084,-49.16834259
20,160,0,20,160,-15.97637844,-46.04869843
36,144,0,36,144,-15.89299107,-43.17412567
36,140,0,36,140,-15.89452457,-40.13852692
44,128,0,44,128,-16.00552177,-37.1384697
64,104,0,64,104,-16.06596756,-34.14107513
